IQR,loss,n_samples,accuracy,precision,recall,roc_auc,pr_auc,f1_score,mcc
"None",0.5164959823552154,13887,0.7571829768848564,0.7440448463491035,0.721747759257759,0.8363064095466983,0.8175858322981926,0.7322868566375027,0.5104793939475769
0.5,0.6054701189289985,10608,0.6988122171945701,0.66253201814079,0.6317295172275641,0.7657235031933446,0.7202334396799586,0.6463549399627639,0.38452861895208806
1.0,0.5643556659701031,12369,0.7309402538604576,0.7001964178338993,0.673667062060393,0.8014276334738055,0.7577539962557603,0.6862566572681704,0.45132709546042526
1.5,0.5397025673831998,13161,0.7476635514018691,0.7296031925528076,0.684319957521275,0.8202098054859053,0.7864352567481574,0.7057157362424967,0.48593311470680417
2.0,0.533815076841524,13507,0.7453912785962834,0.7183300788480047,0.7043617719053084,0.823246814730325,0.7951058074054194,0.7108227591480344,0.4835632102798549
2.5,0.5307797719763288,13678,0.7451381780962129,0.7311002528010309,0.6948683418399986,0.8248269775140737,0.8022018278668299,0.7119591137456134,0.4845401403028586
3.0,0.5179223531326883,13756,0.7552340796743239,0.7357704138194242,0.7206344049869148,0.833870717209763,0.8082883434955656,0.7275409082854755,0.505785082134614
