run,loss,accuracy,precision,recall,roc_auc,pr_auc,f1_score,mcc
1,0.5166831899901364,0.7548066537049039,0.7423377782503421,0.7174069892255347,0.8361723053710305,0.8175591802360122,0.7291408584692518,0.5056802295424678
2,0.5170554356886792,0.7561748397782099,0.7452398995013322,0.7172610709431483,0.8356507266238209,0.8168229785500828,0.7305676228217037,0.5086153318413804
3,0.5186122791070252,0.7546626341182401,0.7420886271782963,0.718101208639375,0.8343386575574279,0.8156451543034853,0.729574745602902,0.5054427870940448
4,0.5180601086203271,0.7534384676315979,0.7423406614549579,0.713737372970224,0.8345674855530352,0.815080046198783,0.7273470832658242,0.5031136500189026
5,0.517228305987923,0.7557427810182185,0.7430436711267733,0.7208863842982646,0.8359192162634118,0.8170004714391157,0.7311999588193995,0.5081787724693059
