run,loss,accuracy,precision,recall,roc_auc,pr_auc,f1_score,mcc
1,0.5140635716766623,0.7554547418448909,0.7438118693517318,0.7165138990152661,0.8355204198395982,0.8170473762556708,0.7295198943931375,0.5067400182049758
2,0.5133306985111914,0.7539425361849211,0.7398246083342335,0.720895385522431,0.8362477609454886,0.8172975118366098,0.7298551196712753,0.504377618793656
3,0.5144786846777649,0.7557427810182185,0.7417664114819615,0.7214784257534025,0.835213885963491,0.8158357974184489,0.7312510126377187,0.5074648980386333
4,0.510950283773038,0.758767192338158,0.7483832254311586,0.719848289992439,0.8369900806509686,0.8186184414830417,0.7334748775833513,0.5138731367465975
5,0.5118045384132588,0.754734643911572,0.7429707471466119,0.7176760414416361,0.837433390941168,0.8190931857357601,0.729567361786203,0.5060679854022647
