run,loss,accuracy,precision,recall,roc_auc,pr_auc,f1_score,mcc
1,0.5187554005143142,0.7542305753582487,0.7437618703643696,0.7124003395711817,0.8338435199062072,0.8150781475030604,0.7273588973725427,0.504161308125405
2,0.5203327293262768,0.7558147908115503,0.7453899667854829,0.715440713999604,0.8337180653443869,0.8139184663489235,0.7296897221772161,0.5077284651337582
3,0.5177510969494781,0.7560308201915461,0.744532600183625,0.7176664073188954,0.8348666356124433,0.8169429479909268,0.7305434320317563,0.5079713223810939
4,0.5202957563445079,0.7507741052783179,0.7393808761116512,0.7110676661400951,0.8324756151211565,0.8134644671050263,0.7245874345160942,0.49779294202761576
5,0.5163129418734264,0.7527903794916109,0.741375702095485,0.7146509269010586,0.8359632378753511,0.8184545910743861,0.7271764819390437,0.5022000609270361
